type,id,title,description,parent_id,notes,
functional,UN-001,Physician navigation to target nodule,Physicians need to navigate a bronchoscope to a target nodule identified in preoperative imaging in order to obtain a tissue biopsy.,,User Need,
functional,UN-002,Peripheral airway reach,Physicians need to reach target nodules located in peripheral (small-diameter, high-generation) airway branches that are difficult or impossible to access with manual bronchoscopy.,,User Need
safety,UN-003,No unintended airway injury,Patients need assurance that navigation will not cause unintended injury to the airway.,,User Need,
functional,UN-004,Physician supervisory authority,Physicians need to retain supervisory authority over the procedure including the ability to pause or abort navigation at any time.,,User Need,
functional,UN-005,Procedure record,Clinical staff need a record of the navigation procedure to support post-procedure review.,,User Need,
functional,SYS-REQ-001,System navigation capability,The system shall enable a physician to navigate a flexible bronchoscope to target pulmonary nodules identified in preoperative imaging.,UN-001,Derived from UN-001 and UN-002; verification: Analysis and Demonstration,
functional,SYS-REQ-002,Positional confidence for biopsy,The system shall provide the physician with sufficient positional confidence to perform a tissue biopsy at the target location.,UN-001,Verification: Test and Analysis,
safety,SYS-REQ-003,Prevent unintended scope motion,The system shall prevent unintended scope advancement or steering that could result in airway wall injury.,UN-003,Verification: Test and Analysis,
functional,SYS-REQ-004,Respond to pause and abort commands,The system shall respond to physician pause and abort commands within a clinically acceptable time.,UN-004,Verification: Test,
functional,SYS-REQ-005,Generate procedure record,The system shall generate a complete procedure record suitable for post-procedure clinical review.,UN-005,Verification: Test and Inspection,
safety,SYS-REQ-006,Detect and respond to navigation accuracy loss,The system shall detect conditions under which navigation accuracy cannot be assured and shall prevent scope motion under those conditions.,UN-003,Verification: Test and Analysis,
performance,SUB-REQ-001,30 Hz fused pose estimate,The RBNS shall produce a fused bronchoscope tip pose estimate at a rate of no less than 30 Hz during the NAVIGATE phase.,SYS-REQ-001,Allocated to 1.0/1.4; verification: Test,
functional,SUB-REQ-002,Uncertainty ellipsoid on IF-01,Each fused tip pose estimate shall include a 3D position uncertainty representation expressed as an ellipsoid with semi-axis lengths in millimeters.,SYS-REQ-002,Allocated to 1.4; verification: Inspection and Test,
performance,SUB-REQ-003,CBCT registration within 4 seconds,The RBNS shall complete image-to-patient registration within 4 seconds of receiving a Cone Beam Computed Tomography (CBCT) volume.,SYS-REQ-002,Allocated to 1.3 and 3.0; verification: Test,
safety,SUB-REQ-004,Replanning inhibition under uncertainty,The RBNS shall inhibit path replanning when the tip position uncertainty exceeds the configured replanning threshold.,SYS-REQ-003,Allocated to 2.2; verification: Test,
functional,SUB-REQ-005,Configurable replanning threshold,The replanning uncertainty threshold shall be a configurable parameter modifiable without software rebuild.,SYS-REQ-003,Allocated to 2.2; verification: Inspection and Demonstration,
safety,SUB-REQ-006,HOLD within one guidance cycle of uncertainty exceedance,The RBNS shall command zero scope advancement (HOLD) within one guidance cycle of the tip position uncertainty exceeding the configured threshold.,SYS-REQ-003,Allocated to 2.3; verification: Test,
safety,SUB-REQ-007,Guidance command magnitude limiting,All guidance commands shall be magnitude-limited to configurable maximum advance rate and maximum steering angle values prior to transmission on IF-07.,SYS-REQ-003,Allocated to 2.3; verification: Test,
functional,SUB-REQ-008,RBNS procedure state machine,The RBNS shall implement the procedure state machine with states IDLE NAVIGATE CONFIRM BIOPSY FAULT and ABORT with transitions as defined in the RBNS procedure state machine model (D7).,SYS-REQ-004,Allocated to 4.0; verification: Test and Demonstration,
functional,SUB-REQ-009,Supervisor as primary external interface point,All command control status and logging communication between the RBNS and external systems shall be routed through the Procedure Supervisor with the exception of continuous sensor and imaging feeds (IF-EX-02a IF-EX-03 IF-EX-08) which connect directly to their consuming subsystem.,SYS-REQ-004,Allocated to 4.0 architecture constraint; verification: Inspection and Analysis,
performance,SUB-REQ-010,Lost-tracking alert within 100 ms,The RBNS shall report a lost-tracking alert to the Procedure Supervisor within 100 ms of tracking loss detection.,SYS-REQ-006,Allocated to 1.4; verification: Test,
safety,SUB-REQ-011,Cease guidance commands within 50 ms of interlock deassert,Upon deassertion of the motion enable signal (IF-EX-06a) the RBNS shall cease issuing guidance commands within 50 ms.,SYS-REQ-003,Allocated to 4.0; verification: Test,
safety,SUB-REQ-012,FAULT state and HOLD within 100 ms of lost-tracking,Upon receiving a lost-tracking alert the Procedure Supervisor shall transition to the FAULT state and command HOLD on IF-EX-04 within 100 ms.,SYS-REQ-003,Allocated to 4.0; verification: Test,
functional,SUB-REQ-013,Degraded pose estimate on single-source failure,The RBNS shall maintain a degraded tip pose estimate upon failure of any single localization source and shall flag the estimate as DEGRADED on IF-03.,SYS-REQ-002,Allocated to 1.4; verification: Test and Analysis,
performance,SUB-REQ-014,Path computation within 1 second,The RBNS shall compute an airway path from current position to a newly commanded target within 1 second.,SYS-REQ-001,Allocated to 2.1; verification: Test,
performance,SUB-REQ-015,End-to-end guidance latency 200 ms,The end-to-end latency from a tip pose estimate (IF-01) to the corresponding guidance command transmission (IF-EX-04) shall not exceed 200 ms.,SYS-REQ-001,Allocated to 2.0 and 4.0; verification: Test and Analysis,
functional,SUB-REQ-016,CBCT trigger phase gating,The RBNS shall issue CBCT acquisition triggers (IF-EX-02b) only during the NAVIGATE and CONFIRM procedure phases.,SYS-REQ-002,Allocated to 4.0; verification: Test,
functional,SUB-REQ-017,Procedure event logging,The RBNS shall record all state transitions replanning events fault events and the tip pose trace to the Procedure Data Recorder (IF-EX-07) with timestamps of 10 ms resolution or better.,SYS-REQ-005,Allocated to 4.0; verification: Test and Inspection,
functional,COMP-REQ-001,Tip articulation range (TBD),The Guidance Command Generator shall support distal tip articulation commands of up to [TBD] degrees per axis sufficient to follow airway centerline curvature at branch points up to the generation depth required by SYS-REQ-001.,SUB-REQ-014,Allocated to GuidanceCommandGenerator; TBD pending kinematic reach analysis; verification: Analysis and Test,
functional,COMP-REQ-002,Uncertainty ellipsoid bound (TBD),The Sensor Fusion and Uncertainty Estimator shall bound the fused position uncertainty ellipsoid such that the 95% confidence volume does not exceed [TBD].,SUB-REQ-002,Allocated to SensorFusionUncertaintyEstimator; TBD pending EKF covariance analysis; verification: Analysis and Test,
functional,COMP-REQ-003,Replanning threshold default (TBD),The Real-Time Path Updater shall default the replanning inhibition threshold to an uncertainty ellipsoid semi-axis of [TBD] configurable per SUB-REQ-005.,SUB-REQ-004,Allocated to RealTimePathUpdater; TBD pending parametric analysis; verification: Analysis and Test,
